"accession_id","bio_rep_id","after_ripening","mat_temp","GR"
997,1,21,21,0
997,1,63,21,0
997,1,105,21,5.06329113924051
997,2,21,21,0
997,2,63,21,0
997,2,105,21,0
997,3,21,21,0
997,3,63,21,1.17647058823529
997,3,105,21,2.10526315789474
997,5,21,15,0
997,5,63,15,2.12765957446809
997,5,105,15,1.0752688172043
997,6,21,15,0
997,6,63,15,0
997,6,105,15,0
1002,1,21,21,1.30718954248366
1002,1,63,21,7.8125
1002,1,105,21,13.0434782608696
1002,2,21,21,0
1002,2,63,21,6.89655172413793
1002,2,105,21,49.2307692307692
1002,3,21,21,0
1002,3,63,21,18.75
1002,3,105,21,61.1111111111111
1002,4,21,15,0
1002,4,63,15,0
1002,4,105,15,0
1002,6,21,15,0
1002,6,63,15,0
1002,6,105,15,0
5831,1,21,21,0
5831,1,63,21,0
5831,1,105,21,0
5831,2,21,21,0
5831,2,63,21,0
5831,2,105,21,0
5831,3,21,21,0
5831,3,63,21,0
5831,3,105,21,0
5831,5,21,15,0
5831,5,63,15,0
5831,5,105,15,0
5831,6,21,15,0
5831,6,63,15,0
5831,6,105,15,0
5867,1,21,21,0.62111801242236
5867,1,63,21,9.30232558139535
5867,1,105,21,2.40963855421687
5867,2,21,21,0
5867,2,63,21,1.28205128205128
5867,2,105,21,1.42857142857143
5867,3,21,21,5.55555555555556
5867,3,63,21,2.7027027027027
5867,3,105,21,10.4477611940298
5867,4,21,15,0
5867,4,63,15,0
5867,4,105,15,5.12820512820513
5867,5,21,15,0
5867,5,63,15,0
5867,5,105,15,0
5867,6,21,15,0
5867,6,63,15,0
5867,6,105,15,0
6013,1,21,21,0
6013,1,63,21,66.6666666666667
6013,1,105,21,73.3333333333333
6013,2,21,21,54.6511627906977
6013,2,63,21,95.1612903225807
6013,2,105,21,98.3050847457627
6013,3,21,21,3.125
6013,3,63,21,68.4210526315789
6013,3,105,21,91.6666666666667
6013,4,21,15,3.92156862745098
6013,4,63,15,0
6013,4,105,15,4.6875
6013,5,21,15,0
6013,5,63,15,0
